ID,标题,类型,优先级,复杂度,状态,依赖,描述
CH-A2R-03,轴二整改·其他agent(07),回改,P1,M,done,CH-A2R-05,【done 2026-07-10】报告化重构(PM推翻「三处分岔」叙事→产品报告·信息架构驱动·非论点驱动)并入合订本·保留行因被SYN2-R依赖(契约8.2例外);结论见archive;脊=何时拆(拆不拆趋同/拆多重·谁判断分道);§02三种协作模式(不拆/委派subagent/共享看板team·非阶梯·并行嵌套是委派的用法参数非档位·PM亲逮阶梯误把可组合特性画成互斥升级);灰度实验标签=CC fork/coordinator/team/peer受feature-flag门控唯subagent常驻别当产品(源码铁证coordinatorMode.ts:36-40等·立AUDIT-01排查全书);生命周期流(拆→派→协调→合)补回B组升级择时+F组fan-in(谁汇聚:CC Never delegate understanding vs HM synthesizer角色卡);过四门·完整性门逮1硬失真(§02「能否再嵌套」制造假分歧→改对称:两家默认扁平·嵌套都在门控/配置后)+5处必修全修;唯一重档§05协调拓扑(消息网vs共享状态板)
CH-A2R-04,轴二整改·自己(08)转控制回路章,回改,P1,L,done,CH-A2R-05,【done 2026-07-09】过四门(Codex额度挂→主session手动核全部载重逐字制品+无训练代码属实/独立完整性门可放行无推翻主论点必修)并入合订本;成稿脊=自我进化是控制回路问题非训练问题·两家都闭合积累环(自改→固化写盘→下次载入→再自改)但都缺运行时评估环(信用分配:没有代码检验一次自改是否改善后续结果)·都剪枝但只按整洁/闲置不按效用(CC dream卫生剪·HM curator按30/90天闲置);非对称分野=CC不拥有模型→改进注定厂商的活·自觉把评估整个外包(发版前eval「Eval-validated 0/2→3/3」+厂商A/B+在场人·真闭合但在会话外不gate运行时)·Hermes拥有模型造全场最自主自改(后台复盘定期自主写盘)却改进回路最不闭合(评估尚未构建·训练管线吃策划集不接活会话);verdict双压=谁拥有模型(轴一)+谁假设有人盯(综合②)·CC两靠山不需自主评估·HM两靠山都无最需自主评估偏偏最缺=最刺眼落差;黄金制品=HM curator「use=0 is not evidence a skill is valuable」+review「a pass that does nothing is a missed learning opportunity」;训练证伪降为引子;残余caveat对称挂仓外/未审=CC confidenceRating注释引用无源+HM datagen held-out eval旋钮未实现;火墙05=机制/08=回路;素材docs/scratch/ch-a2r-04/;【PM本session定新规矩·已进design-principles Part1明线+记忆】标题/立论用专业术语(评估/控制回路/信用分配)非俏皮比喻(眼/手/尺子/机器/飞轮当机器讲)·禁夸张(0.5秒就懂)→据此重做08标题+thesis+重画mermaid(积累环实线闭合/评估环虚线缺失·明标缺哪些环节);【原案 2026-07-08 PM框架重定·推翻旧「结构不动·保持短」】脊从「谁拥有模型/训练证伪」转向「自我进化=控制回路问题·不是训练问题」;核心发现(比旧断言更强·须重验)=两家都只积累不选择(memory/skills/trajectory越攒越多但无在环fitness与信用分配)·共同缺失的齿=评估与选择·差别在各自把「好」的定义/仪表盘停在哪(CC外包给实验室eval+在场人当fitness·HM想收回本地却只做到攒轨迹没造出仪表盘);训练收据降为引子(证伪README self-improving最窄读法「你的聊天在重训脑子」→转折·不再是靶心);主图=你的飞轮(定义好→发现问题→手段→评估→上线)逐环点亮谁接通/没接通·落在共同缺的评估齿;verdict双压=谁拥有模型(轴一)+谁假设有人盯着(综合②)·「好」由谁定义把08接回全书主脊(CC两个靠山故不给自己装表·HM两个靠山都没有最需闭环却离闭环最远=最刺眼落差);火墙重划=05讲机制(怎么积累/怎么懂你)·08讲回路(积累有没有变成被测量的变好)·技能自造仍留05当已知杠杆引用不搬回;立场=只做实然/描述·不评优劣·应然(该长什么样)另立卡后续规划;规模S→L(推翻结构不动);新研究问题=评估/选择环节在两库代码到底有没有(fitness/信用分配/技能造完是否被测/记忆选择是否仅事故后负向补丁)→需定向重采一轮·严防「没找到→绝对没有」以偏概全;套05样板;依赖=样板05(已done·01并行不阻塞)
CH-A2R-05,轴二整改·用户(05)关系章重构,回改,P0,L,done,无,【done 2026-07-08】成稿过三门(Codex soundness+完整性+设计)并入合订本;门修正=CC后台记忆通路除顺手写外多为特性门控(时间轴gated改虚线+图例)·团队记忆从既成事实改架构/能力口径;第2节重设「它学你」为一条记忆的一生三拍(2.1时机时间轴hero/2.2记什么·成功也要记/2.3写入侧三道墙)·技能双面补进03可定制光谱;第5节收尾重构三层记忆矩阵(记什么/怎么记/记了之后归谁信不信)+「在它眼里用户是谁」反思收尾(CC=组织专业角色→多租户·HM=专属个体→单人陪伴);【原案】PM裁定2026-07-07提前开干不等pilot(打破pilot先行纪律·PM明知内容+形式双变量风险仍拍板·理由=最重要的章+脉络已想清);干完再定是否立为campaign样板(01 pilot定位随之待重估);承接原CH-05R;2026-07-07 PM定稿一体化五节脉络(弃上半/下半拼接·形随内容·旧thesis「差异在控制共识在适应」降为素材):①让渡开篇=用户交出意图+行动权→内生「懂/顺」两期望→归纳「懂用户」是委托关系内生需求(「第二次还要从头解释吗」场景降为引子);②定义独立成节=读两家空白登记表栏目推导四维(你是谁/你的规矩/你的口味/你的边界)·CC四类栏目+不许记清单 vs Hermes两册+访谈脚本+挫败信号令·定义层第一道分野=把你建成独立对象vs当记忆一类·边界维两家都不走暗通道执行闸指路环境章;③手段=两条路解构(正文显式声明这是分析视角):你规定它(CLAUDE.md→钩子→输出风格→改源码深度光谱·承载「谁拥有代码」verdict+治理墙) vs 它学你(四时间尺度+建档+技能自造[决策C自08迁入]);CC防火墙(记忆不许存CLAUDE.md已有)=两条路分工的字面证据;Hermes开机访谈归第二条路主动形态(判据=谁发起·非信息出自谁·文中一句说死);④闸=懂≠顺(声明非命令/用前必核实·固执病预防vs补救·与开篇两期望首尾咬合);⑤矩阵(四维×两条路×有无闸)+verdict=你的档案住哪跟谁走→定位分野(多租户工具vs单人陪伴)·停在定位不点在场;原05有意大砍:纯能力扩展(MCP接工具/插件市场生态/换provider细节)出局或页脚·系PM拍板非丢料;防双写缝(技能自造归05/飞轮与权重级变强留08/边界执行闸归06);渲染套CH-A2R-01样板
DSN-01,设计系统 v2·排版与可视化原则,流程,P0,M,done,无,已完成2026-07-04·PM 验收通过(附修正:综合②非标杆不锁死)·保留行因被 DSN-02 依赖(契约8.2例外);产物 docs/design-principles.md+契约2/3/7修订+assets/harvest-learn-cc
DSN-02,01 章排版改版 pilot,回改,P0,M,done,DSN-01,PM裁定2026-07-06并入CH-A1R-01(内容手术直接按v2排版出稿·手术稿兼任pilot·验收一次两事);v2文件留存至手术稿过门后清理;批量翻新其余章由各批手术自然承接
ART-01,Harness 产品观(文章),专题,P2,M,draft,无,PM 发起·独立文章非合订本章节;骨架=三层(通用/身份/定制)+委托生成的通用层期许清单(2×3核心+通道+在场/重复双模态)+两家价值观回望(信任观/在场观/权力观);初稿 docs/harness-product-view.md;基于初稿讨论迭代·是否入册另议
DSN-04,开篇导读范式·铺全书,回改,P1,M,rendering,无,【2026-07-09 PM定scope+领取】只铺6章=02/03/04/05/07/SYN①（06/08/SYN②随各自CH-A2R-02/CH-A2R-04遗留/SYN2-R改写时吸收范式·不在本轮铺）·H1全章统一「导航词：论断」句式（含重写已定稿论断式标题）·metrics条按范式反过度前置件砍;pilot(01章)已done2026-07-09(标题呼应侧栏导航label+绿框=TL;DR小标+00·问题加框叙述节·三问在行文加粗非列表;砍metrics条/裸大字;范式已写进design-principles.md 1C);待铺其余9章;第1步=把.problem/thesis-tag从ch01 bespoke迁入_design-system.html单一真相(去.chNN scope·或复用现成.card)再逐章套;每章问题节须叙述体讲清问题非摘要;框强调色一律绿(蓝撞CC禁)·防盒子疲劳(绿框vs灰问题框配色须异+分节标题隔开)
AUDIT-01,CC内部feature-flag能力当产品的以偏概全排查,回改,P1,M,draft,无,【2026-07-09 CH-A2R-03发现·PM定另立卡不阻塞07】CC源码树/Users/luohuibin/cursor_project/claude-code-main大量多agent能力受growthbook feature-flag/实验门控·默认对普通用户不可达:coordinator嵌套编排=feature('COORDINATOR_MODE')+env CLAUDE_CODE_COORDINATOR_MODE双门控(coordinatorMode.ts:36-40);fork=实验(forkSubagent.ts:63 'the fork experiment is active');team/共享看板TeamCreate/SendMessage=isAgentSwarmsEnabled()门控(TeamCreateTool.ts:89);peer跨机=UDS_INBOX+传输层缺失;唯一无门控常驻=AgentTool subagent(tools.ts:195)·teammate不能再派teammate(prompt.ts:282);排查全部已成稿章(轴一/轴二)有无把这类内部flag能力当既成产品写(尤其涉及多agent/触发器/workflow/peer);处理=非删·加「灰度实验」标签+讲清结构(干嘛用/何时触发/特性差异)不夸大可达;方法参照CH-A2R-03修正
REN-01,轴二主语与命名统一·综合并组·04/05重构,回改,P0,M,gating,CH-A2R-02,【2026-07-21 PM override 解锁开工·不等06过门:改名与06内容门正交·rendering中】【2026-07-21 PM定·源于导读02节讨论】轴二章名主语从Loop换成Agent(硬理由=轴二讲的恰是循环不在转时的关系·承担主体是作为持续服务实体的agent·主语切换写进导读P3);定名表=04「Agent 与用户场景」(含开篇场景化重构·时间/触发口吻换场景适应·机制层不动)+05「Agent 与用户偏好」(PM原案回归·需求侧命名·§定义节承担广义声明四维=你是谁/规矩/口味/边界·内部双节重构=用户理解机制/用户定义权·档案/画像留作章内判词语言·开工前PM最终确认一次)+06「Agent 与操作环境」+07「Agent 与其他 Agent」+08「Agent 的自我进化」(打破与XX句式成立·论断副标必须保留「自改的手段都在评估的环节缺席」扛住进化一词的选择隐含·呼应README self-improving制品)+SYN①标签「综合：Loop 的全貌」并入轴一组+SYN②仅移组入轴二组末尾·定名留给SYN2-R(约束=以agent为主语·写进SYN2-R卡);侧栏从5组收敛3组(导读/轴一/轴二)·三层归属(用户关系04/05/06·其他agent07·自己08)只在导读地图呈现不进侧栏;执行=DSN-04联动(H1与侧栏label同步改)+build.py分组+各章开篇措辞+重开设计门(04/05另需轻量完整性复核);依赖CH-A2R-02因06章仍待门·先验06再改名防混线;排序=REN-01→INTRO-01的02节改稿→SYN2-R
INTRO-01,全书导读章·拆法与读法,章节,P1,M,rendering,REN-01,【2026-07-17 PM拍板立卡·本session领取】findings/00-intro.html置合订本首章(group导读·label 00导读);scope=只给地图与问法不给任何结论(对象与支点/两轴怎么来/两把仪器/章节地图=每章统领问题/方法与边界);三条纪律=①轴二结构锚补集三分法(时空/其他主体/它自己)不押关系计数(SYN2-R将改五→四+尾声·计数层留弹性)②总变量与各章verdict零剧透(章节地图只列问题不列答案·完备性正式论证留综合②)③头号假设当公开事实前提给不当结论给;真实制品=Hermes README首句The self-improving AI agent(README.md:19·已核实);重档=两轴地图手工HTML(非mermaid·形状是结构非流程);无stepper;跳researching(真相源=framework-and-plan.md非代码·Codex门降为直核制品+独立剧透/失真核);SYN2-R落地后回看章节地图与轴二措辞(预期一段话级回改)
DOC-01,契约3骨架条款按现行范式重写,流程,P1,S,draft,REN-01+INTRO-01,【2026-07-22 契约对账立卡】契约3默认骨架(结论摘要→问题→核心机制→深潜1-3→对比→悬而未决)与成稿实况脱节;现行范式=论断式H1+TL;DR绿标+00·问题框+分野节+verdict+边界说明(防默认→绝对)且深潜已非可辨识单元(制品散进分节);重写须保留仍生效的硬要求=必须含真实制品+形式匹配机制形状;等REN-01/INTRO-01落地范式定型后动笔·现在改等于把在制品当宪法;同批已完成对账=8.3补第四道门/stepper段去过期盘点与配额暗示/排版条款收成指向design-principles的指针
